provider,job_id,backend,status,created_at,started_at,ended_at,runtime_ms,shots,benchmark_hint,input_format,n_qubits,depth,n_ops,single_qubit_gates,two_qubit_gates,three_qubit_gates,measure_ops,gate_counts_json,qbacmet_framework,critical_path_length,connected_components,num_cliffords,num_non_cliffords,num_parameters,circuit_metrics_json,session_id
ibmq,d64dlhbc4tus73ffls00,ibm_torino,Completed,2026-02-08 18:49:41.865075+00:00,2026-02-08 18:49:42.852816+00:00,2026-02-08 18:49:46.631304+00:00,3778.488,,,runtime_inputs,133,32,60,53,7,0,8,"{""rz"": 30, ""sx"": 15, ""measure"": 8, ""cz"": 7}",qiskit,32,1,30,30,0,"{""framework"": ""qiskit"", ""critical_path_length"": 32, ""connected_components"": 1, ""num_cliffords"": 30, ""num_non_cliffords"": 30, ""num_parameters"": 0}",
ibmq,d64d94jc4tus73ffl7gg,ibm_torino,Completed,2026-02-08 18:23:14.318771+00:00,2026-02-08 18:23:15.079574+00:00,2026-02-08 18:23:35.536794+00:00,20457.22,,,runtime_inputs,133,32,60,53,7,0,8,"{""rz"": 30, ""sx"": 15, ""measure"": 8, ""cz"": 7}",qiskit,32,1,30,30,0,"{""framework"": ""qiskit"", ""critical_path_length"": 32, ""connected_components"": 1, ""num_cliffords"": 30, ""num_non_cliffords"": 30, ""num_parameters"": 0}",
ibmq,d634p0jtraac73bgr33g,ibm_torino,Completed,2026-02-06 20:18:11.006566+00:00,2026-02-06 20:18:11.864611+00:00,2026-02-06 20:18:15.205578+00:00,3340.967,,,runtime_inputs,133,64,124,109,15,0,16,"{""rz"": 62, ""sx"": 31, ""measure"": 16, ""cz"": 15}",qiskit,64,1,62,62,0,"{""framework"": ""qiskit"", ""critical_path_length"": 64, ""connected_components"": 1, ""num_cliffords"": 62, ""num_non_cliffords"": 62, ""num_parameters"": 0}",
ibmq,d61psojtraac73bf9jqg,ibm_pittsburgh,Completed,2026-02-04 19:30:42.564679+00:00,2026-02-04 19:30:43.313725+00:00,2026-02-04 19:30:48.175987+00:00,4862.262000000001,,,transpiled,156,5,13,13,0,1,4,"{""rz"": 4, ""measure"": 4, ""sx"": 3, ""x"": 2, ""barrier"": 1}",qiskit,5,1,10,4,0,"{""framework"": ""qiskit"", ""critical_path_length"": 5, ""connected_components"": 1, ""num_cliffords"": 10, ""num_non_cliffords"": 4, ""num_parameters"": 0}",
ibmq,d61pi4btraac73bf9710,ibm_pittsburgh,Completed,2026-02-04 19:08:01.933034+00:00,2026-02-04 19:08:03.044817+00:00,2026-02-04 19:08:08.004345+00:00,4959.527999999999,,,transpiled,156,5,13,13,0,1,4,"{""rz"": 4, ""measure"": 4, ""sx"": 3, ""x"": 2, ""barrier"": 1}",qiskit,5,1,10,4,0,"{""framework"": ""qiskit"", ""critical_path_length"": 5, ""connected_components"": 1, ""num_cliffords"": 10, ""num_non_cliffords"": 4, ""num_parameters"": 0}",
ibmq,d61mur3traac73bf5ru0,ibm_pittsburgh,Completed,2026-02-04 16:10:20.664086+00:00,2026-02-04 16:10:21.384152+00:00,2026-02-04 16:10:25.951488+00:00,4567.336,,,transpiled,156,5,13,13,0,1,4,"{""rz"": 4, ""measure"": 4, ""sx"": 3, ""x"": 2, ""barrier"": 1}",qiskit,5,1,10,4,0,"{""framework"": ""qiskit"", ""critical_path_length"": 5, ""connected_components"": 1, ""num_cliffords"": 10, ""num_non_cliffords"": 4, ""num_parameters"": 0}",
ibmq,d61mu33c4tus73fcf52g,ibm_pittsburgh,Completed,2026-02-04 16:08:44.980403+00:00,2026-02-04 16:08:45.521784+00:00,2026-02-04 16:08:59.434068+00:00,13912.284,,,transpiled,156,5,13,13,0,1,4,"{""rz"": 4, ""measure"": 4, ""sx"": 3, ""x"": 2, ""barrier"": 1}",qiskit,5,1,10,4,0,"{""framework"": ""qiskit"", ""critical_path_length"": 5, ""connected_components"": 1, ""num_cliffords"": 10, ""num_non_cliffords"": 4, ""num_parameters"": 0}",
ibmq,d61lfcns6ggc73ffoo20,ibm_miami,Completed,2026-02-04 14:29:07.044028+00:00,2026-02-04 14:29:07.633528+00:00,2026-02-04 14:29:15.067078+00:00,7433.55,,,transpiled,120,32,60,53,7,0,8,"{""rz"": 30, ""sx"": 15, ""measure"": 8, ""cz"": 7}",qiskit,32,1,30,30,0,"{""framework"": ""qiskit"", ""critical_path_length"": 32, ""connected_components"": 1, ""num_cliffords"": 30, ""num_non_cliffords"": 30, ""num_parameters"": 0}",
ibmq,d5v3dit7fc0s73atie50,ibm_miami,Cancelled,2026-01-31 17:07:23.654690+00:00,,2026-01-31 17:47:07.963075+00:00,2253.568504,,,transpiled,120,32,60,53,7,0,8,"{""rz"": 30, ""sx"": 15, ""measure"": 8, ""cz"": 7}",qiskit,32,1,30,30,0,"{""framework"": ""qiskit"", ""critical_path_length"": 32, ""connected_components"": 1, ""num_cliffords"": 30, ""num_non_cliffords"": 30, ""num_parameters"": 0}",
ibmq,d5v3acabju6s73bbd5bg,ibm_miami,Cancelled,2026-01-31 17:00:33.456259+00:00,,2026-01-31 17:01:04.967475+00:00,2187.006238,,,transpiled,120,32,60,53,7,0,8,"{""rz"": 30, ""sx"": 15, ""measure"": 8, ""cz"": 7}",qiskit,32,1,30,30,0,"{""framework"": ""qiskit"", ""critical_path_length"": 32, ""connected_components"": 1, ""num_cliffords"": 30, ""num_non_cliffords"": 30, ""num_parameters"": 0}",37c76e2a-7a4a-4299-9e17-2f596546dc80
ibmq,d5v36f57fc0s73ati690,ibm_miami,Cancelled,2026-01-31 16:52:12.743594+00:00,,2026-01-31 17:01:02.200977+00:00,2187.006238,,,transpiled,120,32,60,53,7,0,8,"{""rz"": 30, ""sx"": 15, ""measure"": 8, ""cz"": 7}",qiskit,32,1,30,30,0,"{""framework"": ""qiskit"", ""critical_path_length"": 32, ""connected_components"": 1, ""num_cliffords"": 30, ""num_non_cliffords"": 30, ""num_parameters"": 0}",ebbe4f61-0384-48e9-bc71-1151bd2ad1fc
ibmq,d5uo5c4bmr9c739ohc2g,ibm_miami,Failed,2026-01-31 04:18:57.217850+00:00,,2026-01-31 04:18:57.666601+00:00,4064.091405,,,qasm,8,9,16,9,7,0,8,"{""measure"": 8, ""cx"": 7, ""h"": 1}",qiskit,9,1,16,0,0,"{""framework"": ""qiskit"", ""critical_path_length"": 9, ""connected_components"": 1, ""num_cliffords"": 16, ""num_non_cliffords"": 0, ""num_parameters"": 0}",
ibmq,d5bvqr3ht8fs73a72q80,ibm_boston,Completed,2026-01-02 17:16:28.939700+00:00,2026-01-02 17:16:29.346666+00:00,2026-01-02 17:20:15.359030+00:00,226012.364,,,transpiled,156,22477,36780,27453,9327,1,12,"{""sx"": 16768, ""rz"": 10535, ""cz"": 9327, ""x"": 138, ""measure"": 12, ""barrier"": 1}",qiskit,22477,1,26246,10535,0,"{""framework"": ""qiskit"", ""critical_path_length"": 22477, ""connected_components"": 1, ""num_cliffords"": 26246, ""num_non_cliffords"": 10535, ""num_parameters"": 0}",
ibmq,d5bvot3ht8fs73a72ofg,ibm_boston,Completed,2026-01-02 17:12:20.274799+00:00,2026-01-02 17:12:21.288959+00:00,2026-01-02 17:16:27.259274+00:00,245970.315,,,transpiled,156,24559,39487,30160,9327,1,12,"{""sx"": 16771, ""rz"": 13239, ""cz"": 9327, ""x"": 138, ""measure"": 12, ""barrier"": 1}",qiskit,24559,1,26249,13239,4,"{""framework"": ""qiskit"", ""critical_path_length"": 24559, ""connected_components"": 1, ""num_cliffords"": 26249, ""num_non_cliffords"": 13239, ""num_parameters"": 4}",
ibmq,d5bvmugnsj9s73b92170,ibm_boston,Completed,2026-01-02 17:08:10.459000+00:00,2026-01-02 17:08:11.286910+00:00,2026-01-02 17:12:17.096220+00:00,245809.31,,,transpiled,156,24559,39487,30160,9327,1,12,"{""sx"": 16771, ""rz"": 13239, ""cz"": 9327, ""x"": 138, ""measure"": 12, ""barrier"": 1}",qiskit,24559,1,26249,13239,4,"{""framework"": ""qiskit"", ""critical_path_length"": 24559, ""connected_components"": 1, ""num_cliffords"": 26249, ""num_non_cliffords"": 13239, ""num_parameters"": 4}",
