provider,job_id,backend,status,created_at,started_at,ended_at,runtime_ms,shots,session_id,input_format,n_qubits,depth,n_ops,single_qubit_gates,two_qubit_gates,three_qubit_gates,measure_ops,gate_counts_json,qiskit_framework,critical_path_length,connected_components,num_cliffords,num_non_cliffords,num_parameters,circuit_metrics_json
ibmq,cld4afktstu8k28k9me0,simulator_statevector,Failed,2023-11-19 17:26:22.870563+00:00,2023-11-19 17:26:23.192666+00:00,2023-11-19 17:26:23.277641+00:00,84.975,10000.0,cld4afktstu8k28k9me0,runtime_inputs,5.0,140.0,170.0,122.0,40.0,9.0,5.0,"{""rz"": 65, ""sx"": 52, ""cx"": 20, ""cu3"": 14, ""ccx"": 8, ""cp"": 6, ""measure"": 5, ""barrier"": 1}",qiskit,140.0,1.0,78.0,93.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 140, ""connected_components"": 1, ""num_cliffords"": 78, ""num_non_cliffords"": 93, ""num_parameters"": 0}"
ibmq,cnd46qtxswgg0087mrs0,ibmq_mumbai,Completed,2023-11-19 17:18:23.130564+00:00,2023-11-19 19:21:28.655000+00:00,2023-11-19 19:21:59.486000+00:00,30831.0,10000.0,cnd46qtxswgg0087mrs0,runtime_inputs,27.0,402.0,474.0,315.0,159.0,1.0,5.0,"{""rz"": 194, ""cx"": 159, ""sx"": 116, ""measure"": 5, ""barrier"": 1}",qiskit,402.0,1.0,281.0,194.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 402, ""connected_components"": 1, ""num_cliffords"": 281, ""num_non_cliffords"": 194, ""num_parameters"": 0}"
ibmq,cnd46kaxswgg0087mrqg,ibmq_mumbai,Completed,2023-11-19 17:18:05.294394+00:00,2023-11-19 19:19:58.003000+00:00,2023-11-19 19:20:12.544000+00:00,14541.0,10000.0,cnd46kaxswgg0087mrqg,runtime_inputs,27.0,409.0,468.0,315.0,153.0,1.0,5.0,"{""rz"": 194, ""cx"": 153, ""sx"": 116, ""measure"": 5, ""barrier"": 1}",qiskit,409.0,1.0,275.0,194.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 409, ""connected_components"": 1, ""num_cliffords"": 275, ""num_non_cliffords"": 194, ""num_parameters"": 0}"
ibmq,cnd44890m2gg008cd51g,ibmq_mumbai,Completed,2023-11-19 17:13:05.616243+00:00,2023-11-19 19:18:28.979000+00:00,2023-11-19 19:18:37.846000+00:00,8867.0,10000.0,cnd44890m2gg008cd51g,runtime_inputs,27.0,405.0,466.0,313.0,153.0,1.0,5.0,"{""rz"": 192, ""cx"": 153, ""sx"": 116, ""measure"": 5, ""barrier"": 1}",qiskit,405.0,1.0,275.0,192.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 405, ""connected_components"": 1, ""num_cliffords"": 275, ""num_non_cliffords"": 192, ""num_parameters"": 0}"
ibmq,cld435tlqrutvh16jt50,simulator_statevector,Completed,2023-11-19 17:10:47.338132+00:00,2023-11-19 17:10:48.026138+00:00,2023-11-19 17:11:08.068584+00:00,20042.446000000004,10000.0,cld435tlqrutvh16jt50,runtime_inputs,5.0,140.0,170.0,122.0,40.0,9.0,5.0,"{""rz"": 65, ""sx"": 52, ""cx"": 20, ""cu3"": 14, ""ccx"": 8, ""cp"": 6, ""measure"": 5, ""barrier"": 1}",qiskit,140.0,1.0,78.0,93.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 140, ""connected_components"": 1, ""num_cliffords"": 78, ""num_non_cliffords"": 93, ""num_parameters"": 0}"
ibmq,cld41v5lqrutvh16jk90,simulator_statevector,Completed,2023-11-19 17:08:12.761023+00:00,2023-11-19 17:08:13.561666+00:00,2023-11-19 17:08:31.620792+00:00,18059.126,10000.0,cld41v5lqrutvh16jk90,runtime_inputs,5.0,140.0,170.0,122.0,40.0,9.0,5.0,"{""rz"": 65, ""sx"": 52, ""cx"": 20, ""cu3"": 14, ""ccx"": 8, ""cp"": 6, ""measure"": 5, ""barrier"": 1}",qiskit,140.0,1.0,78.0,93.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 140, ""connected_components"": 1, ""num_cliffords"": 78, ""num_non_cliffords"": 93, ""num_parameters"": 0}"
ibmq,cld3vkapen43j474l6ag,simulator_statevector,Completed,2023-11-19 17:03:13.134068+00:00,2023-11-19 17:03:13.170149+00:00,2023-11-19 17:03:13.574047+00:00,403.89799999999997,10000.0,cld3vkapen43j474l6ag,runtime_inputs,5.0,140.0,170.0,122.0,40.0,9.0,5.0,"{""rz"": 65, ""sx"": 52, ""cx"": 20, ""cu3"": 14, ""ccx"": 8, ""cp"": 6, ""measure"": 5, ""barrier"": 1}",qiskit,140.0,1.0,78.0,93.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 140, ""connected_components"": 1, ""num_cliffords"": 78, ""num_non_cliffords"": 93, ""num_parameters"": 0}"
ibmq,cld3tjs46cn44kds1l7g,simulator_statevector,Failed,2023-11-19 16:58:55.006553+00:00,2023-11-19 16:58:55.048867+00:00,2023-11-19 16:58:55.191592+00:00,142.725,,cld3tjs46cn44kds1l7g,,,,,,,,,,,,,,,,
ibmq,cld3t3dr12tet1qljk10,simulator_statevector,Failed,2023-11-19 16:57:49.853010+00:00,2023-11-19 16:57:49.887983+00:00,2023-11-19 16:57:50.076380+00:00,188.39700000000002,,cld3t3dr12tet1qljk10,,,,,,,,,,,,,,,,
ibmq,cld3ruc46cn44kds1am0,simulator_statevector,Completed,2023-11-19 16:55:21.939709+00:00,2023-11-19 16:55:21.976328+00:00,2023-11-19 16:55:22.177802+00:00,201.474,1000.0,,runtime_inputs,2.0,3.0,4.0,3.0,1.0,0.0,2.0,"{""measure"": 2, ""u2"": 1, ""cx"": 1}",qiskit,3.0,1.0,3.0,1.0,0.0,"{""framework"": ""qiskit"", ""critical_path_length"": 3, ""connected_components"": 1, ""num_cliffords"": 3, ""num_non_cliffords"": 1, ""num_parameters"": 0}"
ibmq,cld3n3rk8l5ohou1fuqg,simulator_statevector,Failed,2023-11-19 16:45:03.538926+00:00,2023-11-19 16:45:03.569456+00:00,2023-11-19 16:45:03.749891+00:00,180.435,,cld3n3rk8l5ohou1fuqg,,,,,,,,,,,,,,,,
