benchmark,size,n_nodes,n_processes,best_backend,sub_backend,best_runtime,n_qubits,depth,width,n_clbits,n_ops,n_gates,n_parameters,n_connected_components,n_measure_ops,single_qubit_gates,two_qubit_gates,three_qubit_gates,four_qubit_gates,num_separable_circuits,num_tensor_factors,num_serial_layers,qc_width_total,num_registers,num_cregs,num_ancillas,idle_wires,global_phase,dag_size_ops,dag_edge_count,longest_path_len,num_control_flow_ops,num_barriers,num_distinct_twoq_pairs,touch_min,touch_max,touch_avg,clifford_count,nonclifford_count,measure_fraction,total_gate_params,avg_gate_params,std_gate_params,min_gate_params,max_gate_params,num_controlled_gates,num_unitary_factors,dag_duration,qc_duration,gate_barrier,gate_ccx,gate_cp,gate_cu,gate_cx,gate_cz,gate_h,gate_measure,gate_p,gate_rx,gate_ry,gate_rz,gate_s,gate_swap,gate_u2
ghz,30,4,4,nwqsim,MPI,181955.2599430084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz,30,4,8,nwqsim,MPI,96125.5069732666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz,30,8,2,nwqsim,MPI,181886.22012138367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz,30,8,4,nwqsim,MPI,96528.38048934937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz,30,8,8,nwqsim,MPI,55679.5752286911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz,30,16,2,nwqsim,MPI,97064.28442001344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz,30,16,4,nwqsim,MPI,55699.2461681366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz,30,16,8,nwqsim,MPI,30434.798431396484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz,32,2,8,qiskitaer,automatic,7187.36457824707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz,32,4,8,nwqsim,MPI,383452.433347702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz,32,8,4,nwqsim,MPI,383164.93690013885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz,32,8,8,nwqsim,MPI,206375.51563978195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz,32,16,2,nwqsim,MPI,382673.7103939056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz,32,16,4,nwqsim,MPI,203089.26181793213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ghz,32,16,8,nwqsim,MPI,111229.27713394164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham,4,1,4,nwqsim,MPI,496.9308376312256,4.0,13.0,4.0,4.0,25.0,25.0,0.0,1.0,4.0,19.0,6.0,0.0,0.0,1.0,1.0,25.0,8.0,1.0,1.0,0.0,0.0,0.0,25.0,43.0,15.0,,0.0,3.0,6.0,9.0,7.75,14.0,11.0,1.0,7.0,0.28,0.4489988864128729,0.0,1.0,6.0,1.0,,,0.0,0.0,0.0,0.0,6.0,0.0,8.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
ham,4,1,8,ibmq,ibm_torino,47.30629920959473,4.0,13.0,4.0,4.0,25.0,25.0,0.0,1.0,4.0,19.0,6.0,0.0,0.0,1.0,1.0,25.0,8.0,1.0,1.0,0.0,0.0,0.0,25.0,43.0,15.0,,0.0,3.0,6.0,9.0,7.75,14.0,11.0,1.0,7.0,0.28,0.4489988864128729,0.0,1.0,6.0,1.0,,,0.0,0.0,0.0,0.0,6.0,0.0,8.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
ham,8,1,4,nwqsim,MPI,438.2554690043132,8.0,25.0,8.0,8.0,53.0,53.0,0.0,1.0,8.0,39.0,14.0,0.0,0.0,1.0,1.0,53.0,16.0,1.0,1.0,0.0,0.0,0.0,53.0,91.0,27.0,,0.0,7.0,6.0,9.0,8.375,30.0,23.0,1.0,15.0,0.2830188679245283,0.4504655240118235,0.0,1.0,14.0,1.0,,,0.0,0.0,0.0,0.0,14.0,0.0,16.0,8.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
ham,8,1,8,ibmq,ibm_miami,47.24454879760742,8.0,25.0,8.0,8.0,53.0,53.0,0.0,1.0,8.0,39.0,14.0,0.0,0.0,1.0,1.0,53.0,16.0,1.0,1.0,0.0,0.0,0.0,53.0,91.0,27.0,,0.0,7.0,6.0,9.0,8.375,30.0,23.0,1.0,15.0,0.2830188679245283,0.4504655240118235,0.0,1.0,14.0,1.0,,,0.0,0.0,0.0,0.0,14.0,0.0,16.0,8.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
ham,9,1,8,ibmq,ibm_torino,42.08207130432129,9.0,28.0,9.0,9.0,60.0,60.0,0.0,1.0,9.0,44.0,16.0,0.0,0.0,1.0,1.0,60.0,18.0,1.0,1.0,0.0,0.0,0.0,60.0,103.0,30.0,,0.0,8.0,6.0,9.0,8.444444444444445,34.0,26.0,1.0,17.0,0.2833333333333333,0.4506168611531925,0.0,1.0,16.0,1.0,,,0.0,0.0,0.0,0.0,16.0,0.0,18.0,9.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0
ham,12,1,4,nwqsim,MPI,450.0064849853516,12.0,37.0,12.0,12.0,81.0,81.0,0.0,1.0,12.0,59.0,22.0,0.0,0.0,1.0,1.0,81.0,24.0,1.0,1.0,0.0,0.0,0.0,81.0,139.0,39.0,,0.0,11.0,6.0,9.0,8.583333333333334,46.0,35.0,1.0,23.0,0.2839506172839506,0.450913144882708,0.0,1.0,22.0,1.0,,,0.0,0.0,0.0,0.0,22.0,0.0,24.0,12.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0
ham,15,1,8,ibmq,ibm_torino,45.50552368164063,15.0,46.0,15.0,15.0,102.0,102.0,0.0,1.0,15.0,74.0,28.0,0.0,0.0,1.0,1.0,102.0,30.0,1.0,1.0,0.0,0.0,0.0,102.0,175.0,48.0,,0.0,14.0,6.0,9.0,8.666666666666666,58.0,44.0,1.0,29.0,0.284313725490196,0.4510869439344055,0.0,1.0,28.0,1.0,,,0.0,0.0,0.0,0.0,28.0,0.0,30.0,15.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0
